Description:	Type:	Offset:	Related:	Size:	Comment:
 _bios_equiplist	8086_code	150880	0	3	
_dos_findfirst/_dos_findnext	8086_code	150902	0	41	
_dos_getdiskfree	8086_code	150968	0	45	
_dos_getdrive	8086_code	151014	0	20	
_dos_getvect	8086_code	150884	0	18	
_dos_setvect	8086_code	150946	0	21	
8086 executable code.	binary	0	0	156217	Compiled with the Microsoft C Compiler 5.10 (1988).
About Cartooners	text	208068	0	226	
About dialog text alignment.	binary	208066	0	1	
Actors dialog.	text	215400	0	36	
atoi()	8086_code	154424	0	86	
Background screen buffer.	rectangles	207590	0	8	
Blank... (act option)	text	203866	0	11	
Buffer for speech balloon text in Act menu.	text	203882	0	31	
Button corner rounding procedure	8086_code	66835	0	51	
Button edge style information.	binary	205638	0	38	
Bytes per row #1.	binary	207560	0	1	
Bytes per row #2.	binary	207588	0	1	
C_FILE_INFO.	text	222775	0	11	
Cancel printing.	text	213433	0	35	
chdir	8086_code	149819	0	13	
Checked circle.	icon	201404	204320	69	
Circle.	icon	201332	204320	69	
Critical error interrupt handler setup.	8086_code	151034	0	35	Sets up the critical error handler interrupt.
Critical error interrupt handler.	8086_code	151069	0	42	Handles critical errors.
Critical unknown #01	binary	180602	0	341	Unsafe to modify - causes freezing at title screen. 
Critical unknown #02	binary	205370	0	48	Causes freezing at startup when modified.
Critical unknown #03	binary	205463	0	3	Modification causes freezing at startup.
Critical unknown #04	binary	207630	0	2	Modification causes files not to be listed in load dialog.
Critical unknown #05	binary	225335	0	1	Changing to zero causes an out of memory error at start up.
Critical unknown #06	binary	209880	0	2	Changing causes the levels dialog to freeze.
Critical unknown #07	binary	209894	0	16	Changing affects the levels dialog.
Critical unknown #08	binary	209918	0	16	Changing affects the levels dialog.
Critical unknown #09	binary 	209950	0	58	Changing disables the levels dialog.
Critical unknown #10	binary	205618	0	20	Unsafe to modify - affects GUI's appearance.
Critical unknown #11	binary	211054	0	1	Modification causes the pause dialog to freeze when opened.
Critical unknown #12	binary	211078	0	1	Modification causes the pause dialog to freeze when opened.
Critical unknown #13	binary	213594	0	996	Unsafe to modify - causes freezing when opening dialogs.
Critical unknown #14	binary	205761	0	990	Unsafe to modify - causes freezing when opening file dialogs.
Critical unknown #15	binary	208295	0	629	Unsafe to modify - disables the no printer driver message box.
Critical unknown #16	binary	200736	0	1	Modification causes a null pointer assignment error upon exit.
Critical unknown #17	binary	180320	0	1	Modification causes either freezing at title screen or termination.
Critical unknown #18	binary	201104	0	1	Modification causes a division by zero termination.
Critical unknown #19	binary	208064	0	2	Modification influences the about dialog text.
Cross arrows.	icon	202528	204320	51	
CTRL-Break handler.	8086_code	8	0	33	Handles the CTRL-Break keys being pressed.
Day and month abbreviations.	text	225252	0	58	
Dialog line break.	binary	203406	0	4	
Dialog placement procedure	8086_code	67754	0	51	
Dialog. #1	text	204355	0	134	
Dialog. #2	text	205418	0	45	
Dialog. #3	text	205710	0	51	
Dialog. #4	text	207842	0	220	
Dialog. #5	text	208924	0	704	
Dialog. #6	text	210124	0	14	
Dialog. #7	text	210869	0	10	
Dialog. #8	text	211572	0	790	
Drive letters.	text	205676	0	34	
Driver file extensions	text	205510	0	12	
Eraser.	icon	202096	204320	141	
Error code translator.	8086_code	152440	0	51	Saves the error code at [0x566F].
Error message retrieval.	8086_code	152322	0	41	Returns the position of an error message to be written to STDERR.
Error messages. #1	text	200737	0	307	
Error messages. #2	text	204489	0	28	
Error messages. #3	text	204523	0	39	
Error messages. #4	text	206936	0	611	
Exclamation balloon information.	binary	158802	0	2029	
Exclamation icon record size.	binary	203340	0	2	
Exclamation icon.	point	203336	0	4	
Exclamation icon.	far_address	203346	0	4	
Exclamation.	icon	202592	204320	248	
Executable extensions.	text	225068	0	15	
fclose()	8086_code	145438	0	30	
File read-only/hidden check.	8086_code	149777	0	32	
File system related characters.	text	206751	0	23	
Filled circle.	icon	201476	204320	69	
Frame number Cancel button edge type.	binary	211380	0	1	
Frame number Cancel button id.	binary	211362	0	2	
Frame number Cancel button style.	binary	211372	0	2	
Frame number Cancel button text.	far_address	211374	0	4	
Frame number Cancel button.	rectangles	211364	0	8	
Frame number dialog.	rectangles	211470	0	8	
Frame number OK button edge type.	binary	211356	0	1	
Frame number OK button id.	binary	211338	0	2	
Frame number OK button style.	binary	211348	0	2	
Frame number OK button.	rectangles	211340	0	8	
Frame number OK button.	far_address	211350	0	4	
Frame number text label.	rectangles	211388	0	8	
Frame number text.	far_address	211398	0	4	
Frame number textbox border.	rectangles	211448	0	8	
Frame number textbox.	rectangles	211424	0	8	
Frame number textbox.	far_address	211434	0	4	
Free memory bar.	rectangles	212388	0	8	
Free memory dialog.	rectangles	212458	0	8	
Free memory kbs.	far_address	212422	0	4	
Free memory label.	rectangles	212412	0	8	
Free memory OK button id.	binary	212362	0	2	
Free memory OK button style.	binary	212372	0	2	
Free memory OK button text.	far_address	212374	0	4	
Free memory OK button.	rectangles	212364	0	8	
Free memory.	far_address	212446	0	4	
Free memory.	rectangles	212436	0	8	
Function end point with error check #1.	8086_code	152408	0	8	Used by multiple functions. Clear the AX register in case of an error.
Function end point with error check #2.	8086_code	152416 	0	11	Used by multiple functions. Calls the error code translator in case of an error while preserving the original code in the AX register.
Function end point with error check #3.	8086_code	152427 	0	13	Used by multiple functions. Calls the error code translator in case of an error.
GUI CGA/EGA.	palette	204320	0	32	
Hand icon record size.	binary	203388	0	2	
Hand icon.	point	203384	0	4	
Hand icon.	far_address	203394	0	4	
Hand.	icon	203088	204320	248	
int 0x21 wrapper	8086_code	154546	0	18	Wrapper for int 0x21.
intdos()	8086_code	147724	0	82	
Interface icon buffer.	rectangles	207548	0	8	
Invalid actor error.	text	215274	0	31	
Key retrieval.	8086_code	95848	0	39	Checks whether a key is pressed and returns which if so.
Keyboard layout.	text	215156	0	117	
Left arrow.	icon	201736	204320	178	
Level rectangle #1.	rectangles	209680	0	8	
Level rectangle #2.	rectangles	209704	0	8	
Level rectangle #3.	rectangles	209728	0	8	
Level rectangle #4.	rectangles	209752	0	8	
Level rectangle #5.	rectangles	209776	0	8	
Level rectangle #6.	rectangles	209800	0	8	
Level rectangle #7.	rectangles	209824	0	8	
Level rectangle #8.	rectangles	209848	0	8	
Levels dialog Cancel button edge type.	binary	209672	0	1	If the second to last bit is set the button will have no rounded edges.
Levels dialog Cancel button id.	binary	209654	0	2	
